"","Date","Daily","7-Day"
"1","3/22/2020","7775","7866"
"2","3/23/2020","9541","9558"
"3","3/24/2020","10032","11390"
"4","3/25/2020","11531","13140"
"5","3/26/2020","16482","14662"
"6","3/27/2020","17557","16099"
"7","3/28/2020","19066","18481"
"8","3/29/2020","18425","20175"
"9","3/30/2020","19600","22103"
"10","3/31/2020","26708","24106"
"11","4/1/2020","23393","26298"
"12","4/2/2020","29978","27648"
"13","4/3/2020","31574","29019"
"14","4/4/2020","34412","29726"
"15","4/5/2020","27877","30892"
"16","4/6/2020","29193","31494"
"17","4/7/2020","31656","31786"
"18","4/8/2020","31556","31038"
"19","4/9/2020","34196","31122"
"20","4/10/2020","33614","30548"
"21","4/11/2020","29175","29797"
"22","4/12/2020","28467","29559"
"23","4/13/2020","25175","29124"
"24","4/14/2020","26397","28888"
"25","4/15/2020","29893","28705"
"26","4/16/2020","31151","28441"
"27","4/17/2020","31960","28457"
"28","4/18/2020","27892","28139"
"29","4/19/2020","26625","28161"
"30","4/20/2020","25287","28709"
"31","4/21/2020","24168","29332"
"32","4/22/2020","30046","29937"
"33","4/23/2020","34989","30014"
"34","4/24/2020","36321","29601"
"35","4/25/2020","32124","29687"
"36","4/26/2020","27168","29299"
"37","4/27/2020","22396","28522"
"38","4/28/2020","24767","28074"
"39","4/29/2020","27329","27542"
"40","4/30/2020","29550","27188"
"41","5/1/2020","33188","27189"
"42","5/2/2020","28402","27060"
"43","5/3/2020","24689","26748"
"44","5/4/2020","22401","26408"
"45","5/5/2020","23864","25439"
"46","5/6/2020","25145","25011"
"47","5/7/2020","27171","24169"
"48","5/8/2020","26405","23825"
"49","5/9/2020","25408","23448"
"50","5/10/2020","18793","22882"
"51","5/11/2020","19990","22827"
"52","5/12/2020","21227","22574"
"53","5/13/2020","21183","22398"
"54","5/14/2020","26786","22333"
"55","5/15/2020","24631","22368"
"56","5/16/2020","24180","22205"
"57","5/17/2020","18339","22534"
"58","5/18/2020","20234","22255"
"59","5/19/2020","20088","22099"
"60","5/20/2020","23481","21674"
"61","5/21/2020","24838","21937"
"62","5/22/2020","23534","21794"
"63","5/23/2020","21208","21637"
"64","5/24/2020","20176","20906"
"65","5/25/2020","19238","20643"
"66","5/26/2020","18985","20678"
"67","5/27/2020","18363","20973"
"68","5/28/2020","22998","20854"
"69","5/29/2020","23780","21003"
"70","5/30/2020","23275","21182"
"71","5/31/2020","19339","21364"
"72","6/1/2020","20285","20989"
"73","6/2/2020","20239","21046"
"74","6/3/2020","19633","20859"
"75","6/4/2020","20378","20542"
"76","6/5/2020","24175","20263"
"77","6/6/2020","21966","20022"
"78","6/7/2020","17122","20200"
"79","6/8/2020","18334","20531"
"80","6/9/2020","18550","20694"
"81","6/10/2020","20876","21105"
"82","6/11/2020","22694","21376"
"83","6/12/2020","25317","21595"
"84","6/13/2020","24844","22342"
"85","6/14/2020","19019","23020"
"86","6/15/2020","19870","23703"
"87","6/16/2020","23777","24706"
"88","6/17/2020","25622","25592"
"89","6/18/2020","27478","26579"
"90","6/19/2020","32337","28181"
"91","6/20/2020","31041","29819"
"92","6/21/2020","25933","31151"
"93","6/22/2020","31079","32826"
"94","6/23/2020","35245","34608"
"95","6/24/2020","34945","36141"
"96","6/25/2020","39208","37783"
"97","6/26/2020","44805","38950"
"98","6/27/2020","41778","40611"
"99","6/28/2020","37426","42807"
"100","6/29/2020","39244","44631"
"101","6/30/2020","46875","46070"
"102","7/1/2020","50316","46628"
"103","7/2/2020","51973","48266"
"104","7/3/2020","54878","48961"
"105","7/4/2020","45688","50566"
"106","7/5/2020","48894","51586"
"107","7/6/2020","44106","53046"
"108","7/7/2020","58110","54632"
"109","7/8/2020","57455","56746"
"110","7/9/2020","62194","58009"
"111","7/10/2020","65983","59976"
"112","7/11/2020","60485","61180"
"113","7/12/2020","57736","62562"
"114","7/13/2020","57871","64538"
"115","7/14/2020","66541","65115"
"116","7/15/2020","67127","65319"
"117","7/16/2020","76027","65597"
"118","7/17/2020","70024","65787"
"119","7/18/2020","61907","65436"
"120","7/19/2020","59688","65728"
"121","7/20/2020","59196","64549"
"122","7/21/2020","64086","64798"
"123","7/22/2020","69168","65265"
"124","7/23/2020","67775","64317"
"125","7/24/2020","71772","63632"
"126","7/25/2020","65172","63690"
"127","7/26/2020","53055","63960"
"128","7/27/2020","54396","63969"
"129","7/28/2020","64495","63138"
"130","7/29/2020","71056","61942"
"131","7/30/2020","67840","60944"
"132","7/31/2020","65952","59460"
"133","8/1/2020","56803","58349"
"134","8/2/2020","46067","55826"
"135","8/3/2020","44009","54489"
"136","8/4/2020","56717","53134"
"137","8/5/2020","53395","52853"
"138","8/6/2020","58480","52722"
"139","8/7/2020","56472","53291"
"140","8/8/2020","54836","51724"
"141","8/9/2020","45149","52043"
"142","8/10/2020","47993","50845"
"143","8/11/2020","45745","51777"
"144","8/12/2020","55626","50808"
"145","8/13/2020","50097","50232"
"146","8/14/2020","62998","48212"
"147","8/15/2020","48053","47912"
"148","8/16/2020","41117","46638"
"149","8/17/2020","33854","45674"
"150","8/18/2020","43643","43422"
"151","8/19/2020","46704","42777"
"152","8/20/2020","43349","41759"
"153","8/21/2020","47239","41980"
"154","8/22/2020","43536","41166"
"155","8/23/2020","33988","40822"
"156","8/24/2020","35403","40883"
"157","8/25/2020","37946","40522"
"158","8/26/2020","44294","40908"
"159","8/27/2020","43778","40924"
"160","8/28/2020","44715","40670"
"161","8/29/2020","46236","41309"
"162","8/30/2020","34100","40596"
"163","8/31/2020","33624","40607"
"164","9/1/2020","42416","41239"
"165","9/2/2020","39308","40836"
"166","9/3/2020","43850","40368"
"167","9/4/2020","49144","38860"
"168","9/5/2020","43413","36433"
"169","9/6/2020","30827","35745"
"170","9/7/2020","23063","34673"
"171","9/8/2020","25432","34271"
"172","9/9/2020","34492","33819"
"173","9/10/2020","36341","34234"
"174","9/11/2020","46329","35561"
"175","9/12/2020","40252","39085"
"176","9/13/2020","33734","41526"
"177","9/14/2020","32350","42551"
"178","9/15/2020","50102","42931"
"179","9/16/2020","51577","43225"
"180","9/17/2020","43519","43774"
"181","9/18/2020","48984","46353"
"182","9/19/2020","42313","44806"
"183","9/20/2020","37578","43221"
"184","9/21/2020","50402","43124"
"185","9/22/2020","39274","43867"
"186","9/23/2020","40478","44191"
"187","9/24/2020","42845","44034"
"188","9/25/2020","54185","41316"
"189","9/26/2020","44581","41533"
"190","9/27/2020","36478","41645"
"191","9/28/2020","31373","41837"
"192","9/29/2020","40794","41694"
"193","9/30/2020","41263","42310"
"194","10/1/2020","44187","42186"
"195","10/2/2020","53184","43128"
"196","10/3/2020","48897","43231"
"197","10/4/2020","35604","44610"
