Name,Social distancing index,% staying home,Trips/person,% out-of-county trips,% out-of-state trips,Miles/person,Work trips/person,Non-work trips/person,New COVID cases,Population,% change in consumption,date,Transit mode share,% people older than 60,Median income,% African Americans,% Hispanic Americans,% Male,Population density,Employment density,# hot spots/1000 people,Hospital beds/1000 people,ICUs/1000 people,# contact tracing workers/1000 people,New cases/1000 people,Active cases/1000 people,#days: decreasing COVID cases,% hospital bed utilization,Testing capacity,Tests done/1000 people,% ICU utilization,Ventilator shortage,Imported COVID cases,COVID exposure/1000 people,#days: decreasing ILI cases,Unemployment claims/1000 people,Unemployment rate,% working from home,Cumulative inflation rate,COVID death rate
USA,53,31,2.48,27.5,4.9,30.2,0.24,2.23,0,327167434,-21.6,01/01/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,12,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,20,20,3.34,29.2,4.7,38.8,0.59,2.75,0,327167434,-3.3,01/02/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,12,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,16,19,3.51,29.4,4.7,40.8,0.59,2.93,0,327167434,3.1,01/03/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,32,24,3.13,28.9,4.8,37.0,0.31,2.82,0,327167434,-0.8,01/04/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,45,28,2.72,27.7,4.9,33.8,0.26,2.46,0,327167434,-13.5,01/05/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,18,19,3.42,28.7,4.4,37.7,0.63,2.79,0,327167434,-1.9,01/06/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,0.0,1.0,3.6,4.9,0.4,0.0
USA,17,19,3.45,28.7,4.3,36.8,0.65,2.8,0,327167434,-1.5,01/07/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,6.0,1.0,3.6,4.9,0.4,0.0
USA,16,19,3.47,28.8,4.3,37.0,0.65,2.82,0,327167434,-0.8,01/08/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,6.0,1.0,3.6,4.9,0.4,0.0
USA,15,18,3.5,29.1,4.4,38.4,0.65,2.85,0,327167434,0.3,01/09/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,6.0,1.0,3.6,4.9,0.4,0.0
USA,14,18,3.63,29.0,4.5,40.2,0.63,3.01,0,327167434,5.9,01/10/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,2.86,0.28,0.023,0.0,0.0,0,51.66913535349564,0.0,0.0,0.0,2,0,0.0,6.0,1.0,3.6,4.9,0.4,0.0
