geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
Alaska,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Alabama,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Arkansas,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Arizona,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
California,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Colorado,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Connecticut,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
District of Columbia,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Delaware,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Florida,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Georgia,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Hawaii,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Iowa,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Idaho,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Illinois,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Indiana,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
Kansas,confirmed_incidence_prop,2020-01-22,2020-05-14,113,0,5,5,0.0,,,state,jhu-csse
